text,label
Earn ₹30000 per day working from home no experience needed whatsapp now,scam
Simple data entry job work from home registration fee 500 required,scam
Part time job earn daily income contact telegram immediately,scam
Limited seats online job pay joining fee start today,scam
Earn fast money online guaranteed profit join now,scam
Data entry job pay registration fee before starting work,scam
Urgent hiring work from home job contact whatsapp number,scam
Work from home typing job pay processing fee before joining,scam
Software developer required 2 years experience salary 6 LPA apply online,real
Looking for graphic designer freelance project payment after milestone,real
Backend engineer needed NodeJS experience remote job apply via portal,real
Hiring marketing executive for full time office job salary negotiable,real
Data analyst position Python SQL skills required apply through company website,real
UI designer freelance project portfolio required payment after completion,real
Customer support executive full time job apply through official portal,real